Date,Fighter A,Fighter B,Winner,Weight Class,Method,Round,Time
"July 19, 2025",Max Holloway,Dustin Poirier,Max Holloway,Lightweight,U-DEC,5,5:00
"July 19, 2025",Paulo Costa,Roman Kopylov,Paulo Costa,Middleweight,U-DEC,3,5:00
"July 19, 2025",Daniel Rodriguez,Kevin Holland,Daniel Rodriguez,Welterweight,U-DEC,3,5:00
"July 19, 2025",Patricio Freire,Dan Ige,Patricio Freire,Featherweight,U-DEC,3,5:00
"July 19, 2025",Michael Johnson,Daniel Zellhuber,Michael Johnson,Lightweight,U-DEC,3,5:00
"July 19, 2025",Vinicius Oliveira,Kyler Phillips,Vinicius Oliveira,Bantamweight,U-DEC,3,5:00
"July 19, 2025",Brendan Allen,Marvin Vettori,Brendan Allen,Middleweight,U-DEC,3,5:00
"July 19, 2025",Nikolay Veretennikov,Francisco Prado,Nikolay Veretennikov,Welterweight,S-DEC,3,5:00
"July 19, 2025",Ateba Gautier,Robert Valentin,Ateba Gautier,Middleweight,KO/TKOPunch,1,1:10
"July 19, 2025",Islam Dulatov,Adam Fugitt,Islam Dulatov,Welterweight,KO/TKOPunch,1,4:06
"July 19, 2025",Jimmy Crute,Marcin Prachnio,Jimmy Crute,Light Heavyweight,SUBArmbar,1,4:42
"July 19, 2025",Ryan Spann,Lukasz Brzeski,Ryan Spann,Heavyweight,SUBGuillotine Choke,1,2:47
"July 19, 2025",Brunno Ferreira,Jackson McVey,Brunno Ferreira,Middleweight,SUBArmbar,1,3:35
"July 19, 2025",Carli Judice,Nicolle Caliari,Carli Judice,Women's Flyweight,KO/TKOKnee,3,1:30
"July 12, 2025",Derrick Lewis,Tallison Teixeira,Derrick Lewis,Heavyweight,KO/TKOPunches,1,0:35
"July 12, 2025",Gabriel Bonfim,Stephen Thompson,Gabriel Bonfim,Welterweight,S-DEC,3,5:00
"July 12, 2025",Steve Garcia,Calvin Kattar,Steve Garcia,Featherweight,U-DEC,3,5:00
"July 12, 2025",Morgan Charriere,Nate Landwehr,Morgan Charriere,Featherweight,KO/TKOPunch,3,0:27
"July 12, 2025",Vitor Petrino,Austen Lane,Vitor Petrino,Heavyweight,SUBRear Naked Choke,1,4:16
"July 12, 2025",Tuco Tokkos,Junior Tafa,Tuco Tokkos,Light Heavyweight,SUBArm Triangle,2,4:25
"July 12, 2025",Chris Curtis,Max Griffin,Chris Curtis,Welterweight,S-DEC,3,5:00
"July 12, 2025",Jake Matthews,Chidi Njokuani,Jake Matthews,Welterweight,SUBRear Naked Choke,1,1:09
"July 12, 2025",Eduarda Moura,Lauren Murphy,Eduarda Moura,Women's Flyweight,U-DEC,3,5:00
"July 12, 2025",Valter Walker,Kennedy Nzechukwu,Valter Walker,Heavyweight,SUBHeel Hook,1,0:54
"July 12, 2025",Mike Davis,Mitch Ramirez,Mike Davis,Lightweight,KO/TKOPunches,2,4:08
"July 12, 2025",Fatima Kline,Melissa Martinez,Fatima Kline,Women's Strawweight,KO/TKOKick,3,2:36
"June 28, 2025",Ilia Topuria,Charles Oliveira,Ilia Topuria,Lightweight,KO/TKOPunch,1,2:27
"June 28, 2025",Alexandre Pantoja,Kai Kara-France,Alexandre Pantoja,Flyweight,SUBRear Naked Choke,3,1:55
"June 28, 2025",Joshua Van,Brandon Royval,Joshua Van,Flyweight,U-DEC,3,5:00
"June 28, 2025",Beneil Dariush,Renato Moicano,Beneil Dariush,Lightweight,U-DEC,3,5:00
"June 28, 2025",Payton Talbott,Felipe Lima,Payton Talbott,Bantamweight,U-DEC,3,5:00
"June 28, 2025",Gregory Rodrigues,Jack Hermansson,Gregory Rodrigues,Middleweight,KO/TKOPunch,1,4:21
"June 28, 2025",Jose Delgado,Hyder Amil,Jose Delgado,Featherweight,KO/TKOKnee,1,0:26
"June 28, 2025",Tracy Cortez,Viviane Araujo,Tracy Cortez,Women's Flyweight,U-DEC,3,5:00
"June 28, 2025",Terrance McKinney,Viacheslav Borshchev,Terrance McKinney,Lightweight,SUBGuillotine Choke,1,0:55
"June 28, 2025",Jacobe Smith,Niko Price,Jacobe Smith,Welterweight,SUBRear Naked Choke,2,4:03
